col_name,feature_importance_vals
num__V26,0.1441485040529878
num__V11,0.13331151564860133
num__V18,0.12575727556408553
num__V19,0.1196595082270731
num__V24,0.11561250448306577
num__V16,0.1140137301532977
num__V12,0.10726850720059573
num__Hour_of_Day,0.10644703133868473
num__Amount,0.10472642964799068
num__V15,0.10375248671027572
num__V6,0.0963215471821326
num__V9,0.09581192821938103
num__V22,0.09199648377303825
num__V4,0.0909923541499423
num__V17,0.08885310617766243
num__V27,0.07707669269422407
num__V14,0.07686332954299686
num__V25,0.07504488493928063
num__V10,0.07388507472132275
num__V13,0.07351461727059626
num__V3,0.06367593711797422
num__V1,0.06133553809694007
num__V28,0.05931802699675162
num__V20,0.05898237049750294
num__V21,0.05891689875982667
num__V8,0.05593321133264106
num__V7,0.053975248430619856
num__V2,0.04894085789803434
num__V5,0.0480220403520787
num__V23,0.04752970566321215
num__Day_of_Week,0.030578970517141632
num__Is_Weekend,0.0
